#  Photon mass energy-absorption coefficients from PENELOPE
#  Material data file:      aluminum.mat        
#  Mass density= 2.698900E+00 g/cm**3
# 
#  Tolerance = 1.000000E-01 %
#  Allotted simulation time = 1.000000E+02 s
#  Dump period= 1.000000E+01 s
#
#    Energy       mu/rho      mu_en/rho     (1-g)*f        f            1-g      uncert.      T
#     (eV)       (cm**2/g)    (cm**2/g)                                            (%)       (s)
# ---------------------------------------------------------------------------------------------------
   8.60000E+04  1.90279E-01  4.75549E-02  2.49921E-01  2.50226E-01  9.98783E-01  9.3E-02  1.0001E+01
   8.65000E+04  1.89404E-01  4.70834E-02  2.48587E-01  2.48896E-01  9.98756E-01  9.3E-02  1.0001E+01
   8.70000E+04  1.88547E-01  4.65927E-02  2.47115E-01  2.47413E-01  9.98793E-01  9.3E-02  1.0001E+01
   8.75000E+04  1.87706E-01  4.60954E-02  2.45573E-01  2.45870E-01  9.98792E-01  9.3E-02  1.0001E+01
   8.80000E+04  1.86881E-01  4.56807E-02  2.44437E-01  2.44726E-01  9.98820E-01  9.3E-02  1.0001E+01
   8.85000E+04  1.86073E-01  4.52223E-02  2.43036E-01  2.43335E-01  9.98769E-01  9.3E-02  1.0001E+01
   8.90000E+04  1.85279E-01  4.47838E-02  2.41710E-01  2.41999E-01  9.98806E-01  9.2E-02  1.0001E+01
   8.95000E+04  1.84501E-01  4.44237E-02  2.40777E-01  2.41057E-01  9.98837E-01  9.2E-02  1.0001E+01
   9.00000E+04  1.83738E-01  4.39505E-02  2.39202E-01  2.39484E-01  9.98825E-01  9.2E-02  1.0001E+01
   9.05000E+04  1.82989E-01  4.35573E-02  2.38033E-01  2.38313E-01  9.98824E-01  9.2E-02  1.0001E+01
   9.10000E+04  1.82253E-01  4.31588E-02  2.36807E-01  2.37076E-01  9.98865E-01  8.8E-02  1.0001E+01
   9.15000E+04  1.81531E-01  4.28277E-02  2.35925E-01  2.36193E-01  9.98866E-01  8.9E-02  1.0001E+01
   9.20000E+04  1.80823E-01  4.23314E-02  2.34105E-01  2.34367E-01  9.98878E-01  8.8E-02  1.0001E+01
   9.25000E+04  1.80116E-01  4.21533E-02  2.34034E-01  2.34298E-01  9.98872E-01  8.8E-02  1.0001E+01
   9.30000E+04  1.79420E-01  4.17278E-02  2.32570E-01  2.32832E-01  9.98878E-01  8.8E-02  1.0001E+01
   9.35000E+04  1.78736E-01  4.14235E-02  2.31758E-01  2.32019E-01  9.98878E-01  8.8E-02  1.0001E+01
   9.40000E+04  1.78064E-01  4.10351E-02  2.30452E-01  2.30705E-01  9.98903E-01  8.8E-02  1.0001E+01
   9.45000E+04  1.77403E-01  4.06505E-02  2.29142E-01  2.29398E-01  9.98884E-01  8.7E-02  1.0001E+01
   9.50000E+04  1.76754E-01  4.04181E-02  2.28669E-01  2.28920E-01  9.98900E-01  8.7E-02  1.0001E+01
   9.55000E+04  1.76116E-01  4.00694E-02  2.27517E-01  2.27773E-01  9.98874E-01  8.7E-02  1.0001E+01
   9.60000E+04  1.75489E-01  3.98100E-02  2.26852E-01  2.27101E-01  9.98903E-01  8.7E-02  1.0001E+01
   9.65000E+04  1.74873E-01  3.95296E-02  2.26048E-01  2.26293E-01  9.98914E-01  8.7E-02  1.0001E+01
   9.70000E+04  1.74266E-01  3.91776E-02  2.24814E-01  2.25066E-01  9.98880E-01  8.7E-02  1.0001E+01
   9.75000E+04  1.73670E-01  3.89723E-02  2.24404E-01  2.24656E-01  9.98879E-01  8.7E-02  1.0001E+01
   9.80000E+04  1.73084E-01  3.86780E-02  2.23464E-01  2.23706E-01  9.98919E-01  8.7E-02  1.0001E+01
   9.85000E+04  1.72507E-01  3.84635E-02  2.22967E-01  2.23215E-01  9.98891E-01  8.6E-02  1.0001E+01
   9.90000E+04  1.71940E-01  3.81492E-02  2.21875E-01  2.22114E-01  9.98922E-01  8.6E-02  1.0001E+01
   9.95000E+04  1.71382E-01  3.79382E-02  2.21367E-01  2.21606E-01  9.98918E-01  8.6E-02  1.0001E+01
   1.00000E+05  1.70832E-01  3.76611E-02  2.20456E-01  2.20695E-01  9.98919E-01  8.6E-02  1.0001E+01
   1.00500E+05  1.70285E-01  3.74556E-02  2.19957E-01  2.20204E-01  9.98879E-01  8.6E-02  1.0001E+01
   1.01000E+05  1.69742E-01  3.71912E-02  2.19104E-01  2.19339E-01  9.98926E-01  8.6E-02  1.0001E+01
   1.01500E+05  1.69207E-01  3.69656E-02  2.18463E-01  2.18699E-01  9.98920E-01  8.5E-02  1.0001E+01
   1.02000E+05  1.68681E-01  3.67290E-02  2.17743E-01  2.17976E-01  9.98929E-01  8.6E-02  1.0001E+01
   1.02500E+05  1.68162E-01  3.65429E-02  2.17307E-01  2.17542E-01  9.98921E-01  8.6E-02  1.0001E+01
   1.03000E+05  1.67652E-01  3.62614E-02  2.16290E-01  2.16521E-01  9.98932E-01  8.6E-02  1.0001E+01
   1.03500E+05  1.67149E-01  3.60433E-02  2.15636E-01  2.15872E-01  9.98909E-01  8.5E-02  1.0001E+01
   1.04000E+05  1.66653E-01  3.58680E-02  2.15226E-01  2.15455E-01  9.98938E-01  8.6E-02  1.0001E+01
   1.04500E+05  1.66165E-01  3.56914E-02  2.14795E-01  2.15025E-01  9.98932E-01  8.6E-02  1.0001E+01
   1.05000E+05  1.65682E-01  3.54817E-02  2.14155E-01  2.14380E-01  9.98951E-01  8.7E-02  1.0001E+01
   1.05500E+05  1.65207E-01  3.53605E-02  2.14038E-01  2.14261E-01  9.98961E-01  8.6E-02  1.0001E+01
   1.06000E+05  1.64737E-01  3.50961E-02  2.13043E-01  2.13261E-01  9.98978E-01  8.1E-02  1.0001E+01
   1.06500E+05  1.64275E-01  3.49018E-02  2.12459E-01  2.12673E-01  9.98997E-01  8.1E-02  1.0001E+01
   1.07000E+05  1.63819E-01  3.47301E-02  2.12003E-01  2.12219E-01  9.98978E-01  8.1E-02  1.0001E+01
   1.07500E+05  1.63370E-01  3.45957E-02  2.11763E-01  2.11978E-01  9.98984E-01  8.1E-02  1.0001E+01
   1.08000E+05  1.62927E-01  3.44293E-02  2.11317E-01  2.11534E-01  9.98972E-01  8.1E-02  1.0001E+01
   1.08500E+05  1.62491E-01  3.42090E-02  2.10529E-01  2.10740E-01  9.98998E-01  8.1E-02  1.0001E+01
   1.09000E+05  1.62060E-01  3.40579E-02  2.10156E-01  2.10360E-01  9.99031E-01  8.0E-02  1.0001E+01
   1.09500E+05  1.61626E-01  3.39057E-02  2.09778E-01  2.09985E-01  9.99017E-01  8.0E-02  1.0001E+01
   1.10000E+05  1.61198E-01  3.37619E-02  2.09444E-01  2.09657E-01  9.98987E-01  8.0E-02  1.0001E+01
   1.10500E+05  1.60774E-01  3.36421E-02  2.09251E-01  2.09464E-01  9.98983E-01  8.0E-02  1.0001E+01
   1.11000E+05  1.60357E-01  3.35177E-02  2.09019E-01  2.09223E-01  9.99027E-01  8.0E-02  1.0001E+01
   1.11500E+05  1.59945E-01  3.33040E-02  2.08222E-01  2.08430E-01  9.99001E-01  8.1E-02  1.0001E+01
   1.12000E+05  1.59538E-01  3.31757E-02  2.07948E-01  2.08158E-01  9.98992E-01  8.0E-02  1.0001E+01
   1.12500E+05  1.59137E-01  3.30367E-02  2.07599E-01  2.07804E-01  9.99013E-01  8.0E-02  1.0001E+01
   1.13000E+05  1.58741E-01  3.29008E-02  2.07261E-01  2.07471E-01  9.98988E-01  8.0E-02  1.0001E+01
   1.13500E+05  1.58350E-01  3.28007E-02  2.07140E-01  2.07349E-01  9.98994E-01  8.0E-02  1.0001E+01
   1.14000E+05  1.57964E-01  3.26545E-02  2.06721E-01  2.06924E-01  9.99021E-01  8.0E-02  1.0001E+01
   1.14500E+05  1.57583E-01  3.25558E-02  2.06595E-01  2.06805E-01  9.98983E-01  8.0E-02  1.0001E+01
   1.15000E+05  1.57207E-01  3.24107E-02  2.06166E-01  2.06371E-01  9.99004E-01  8.0E-02  1.0001E+01
   1.15500E+05  1.56835E-01  3.23043E-02  2.05976E-01  2.06186E-01  9.98983E-01  8.0E-02  1.0001E+01
   1.16000E+05  1.56468E-01  3.22072E-02  2.05838E-01  2.06046E-01  9.98993E-01  8.0E-02  1.0001E+01
   1.16500E+05  1.56106E-01  3.20688E-02  2.05430E-01  2.05634E-01  9.99006E-01  8.0E-02  1.0001E+01
   1.17000E+05  1.55748E-01  3.18889E-02  2.04747E-01  2.04952E-01  9.99001E-01  8.0E-02  1.0001E+01
   1.17500E+05  1.55395E-01  3.18775E-02  2.05138E-01  2.05345E-01  9.98992E-01  8.0E-02  1.0001E+01
   1.18000E+05  1.55047E-01  3.17188E-02  2.04576E-01  2.04782E-01  9.98994E-01  7.9E-02  1.0001E+01
   1.18500E+05  1.54702E-01  3.16502E-02  2.04588E-01  2.04783E-01  9.99044E-01  7.9E-02  1.0001E+01
   1.19000E+05  1.54356E-01  3.15300E-02  2.04268E-01  2.04474E-01  9.98993E-01  7.9E-02  1.0001E+01
   1.19500E+05  1.54012E-01  3.13974E-02  2.03864E-01  2.04067E-01  9.99006E-01  7.9E-02  1.0001E+01
   1.20000E+05  1.53671E-01  3.13138E-02  2.03772E-01  2.03973E-01  9.99012E-01  7.9E-02  1.0001E+01
