#  Photon mass energy-absorption coefficients from PENELOPE
#  Material data file:      pmma.mat            
#  Mass density= 1.190000E+00 g/cm**3
# 
#  Tolerance = 1.000000E-01 %
#  Allotted simulation time = 1.000000E+02 s
#  Dump period= 1.000000E+01 s
#
#    Energy       mu/rho      mu_en/rho     (1-g)*f        f            1-g      uncert.      T
#     (eV)       (cm**2/g)    (cm**2/g)                                            (%)       (s)
# ---------------------------------------------------------------------------------------------------
   2.40000E+04  4.09051E-01  1.82877E-01  4.47076E-01  4.47108E-01  9.99927E-01  6.3E-02  1.0001E+01
   2.45000E+04  3.96131E-01  1.71842E-01  4.33800E-01  4.33830E-01  9.99929E-01  6.5E-02  1.0001E+01
   2.50000E+04  3.84246E-01  1.61660E-01  4.20721E-01  4.20754E-01  9.99920E-01  6.7E-02  1.0001E+01
   2.55000E+04  3.73191E-01  1.51895E-01  4.07018E-01  4.07047E-01  9.99928E-01  6.4E-02  1.0001E+01
   2.60000E+04  3.62953E-01  1.43169E-01  3.94455E-01  3.94486E-01  9.99924E-01  6.6E-02  1.0001E+01
   2.65000E+04  3.53424E-01  1.35066E-01  3.82162E-01  3.82195E-01  9.99915E-01  6.8E-02  1.0001E+01
   2.70000E+04  3.44601E-01  1.27713E-01  3.70613E-01  3.70645E-01  9.99913E-01  7.0E-02  1.0001E+01
   2.75000E+04  3.36431E-01  1.20977E-01  3.59588E-01  3.59616E-01  9.99923E-01  7.1E-02  1.0001E+01
   2.80000E+04  3.28885E-01  1.14508E-01  3.48169E-01  3.48201E-01  9.99907E-01  7.3E-02  1.0001E+01
   2.85000E+04  3.21815E-01  1.08923E-01  3.38463E-01  3.38494E-01  9.99908E-01  7.4E-02  1.0001E+01
   2.90000E+04  3.15202E-01  1.03691E-01  3.28966E-01  3.28997E-01  9.99905E-01  7.6E-02  1.0001E+01
   2.95000E+04  3.09032E-01  9.86491E-02  3.19219E-01  3.19249E-01  9.99906E-01  7.3E-02  1.0001E+01
   3.00000E+04  3.03254E-01  9.41063E-02  3.10322E-01  3.10352E-01  9.99902E-01  7.5E-02  1.0001E+01
   3.05000E+04  2.97800E-01  8.97466E-02  3.01365E-01  3.01397E-01  9.99894E-01  7.6E-02  1.0001E+01
   3.10000E+04  2.92659E-01  8.58000E-02  2.93174E-01  2.93201E-01  9.99908E-01  7.7E-02  1.0001E+01
   3.15000E+04  2.87813E-01  8.19276E-02  2.84655E-01  2.84683E-01  9.99904E-01  7.8E-02  1.0001E+01
   3.20000E+04  2.83263E-01  7.85424E-02  2.77278E-01  2.77308E-01  9.99892E-01  7.9E-02  1.0001E+01
   3.25000E+04  2.78984E-01  7.52799E-02  2.69835E-01  2.69866E-01  9.99888E-01  8.0E-02  1.0001E+01
   3.30000E+04  2.74958E-01  7.22753E-02  2.62860E-01  2.62886E-01  9.99900E-01  8.1E-02  1.0001E+01
   3.35000E+04  2.71156E-01  6.94888E-02  2.56268E-01  2.56294E-01  9.99900E-01  8.2E-02  1.0001E+01
   3.40000E+04  2.67528E-01  6.67634E-02  2.49557E-01  2.49583E-01  9.99893E-01  8.3E-02  1.0001E+01
   3.45000E+04  2.64096E-01  6.43236E-02  2.43561E-01  2.43587E-01  9.99894E-01  8.1E-02  1.0001E+01
