# Spectrum generated using MASMICS
# Hernandez AM, Seibert JA, Nosratieh A, Boone JM. Generation and analysis of clinically relevant breast imaging x-ray spectra. Med Phys. 2017 Jun 1;44(6):2148–60. 
# Anode: Mo, Filter: Mo, Thickness: 0.03 mm
# Potential 28 kV
# Note this is left-bin oriented
1000	3.17E-126
1500	3.58E-51
2000	2.35E-25
2500	4.01E-39
3000	2.66E-29
3500	2.29E-20
4000	6.16E-15
4500	2.27E-11
5000	6.13E-09
5500	3.11E-07
6000	5.18E-06
6500	4.22E-05
7000	2.06E-04
7500	6.78E-04
8000	1.70E-03
8500	3.48E-03
9000	5.98E-03
9500	9.37E-03
10000	1.30E-02
10500	1.72E-02
11000	2.18E-02
11500	2.60E-02
12000	2.93E-02
12500	3.24E-02
13000	3.48E-02
13500	3.70E-02
14000	3.85E-02
14500	3.85E-02
15000	3.79E-02
15500	3.82E-02
16000	3.85E-02
16500	3.79E-02
17000	2.80E-01
17500	3.45E-02
18000	3.36E-02
18500	3.21E-02
19000	3.07E-02
19500	8.66E-02
20000	3.27E-03
20500	3.01E-03
21000	2.97E-03
21500	2.91E-03
22000	2.92E-03
22500	2.85E-03
23000	2.87E-03
23500	2.74E-03
24000	2.84E-03
24500	2.41E-03
25000	2.35E-03
25500	2.27E-03
26000	1.95E-03
26500	1.83E-03
27000	1.24E-03
27500	1.08E-03
28000	0.00E+00
